nom,cog,catpop,nom_propre,nom_propre_et_dep,taux_hlm_legal,taux_hlm_2015,nb_menages_2013,uc_par_menage,revenu_median_uc,decile_revenu,nb_res_secondaires
SAINT-PIERRE-D'EXIDEUIL,86237,Entre 500 et 999 habitants,Saint-Pierre-d'Exideuil,Saint-Pierre-d'Exideuil (86),,,332,1.76,19162,5,34
SAINTE-RADEGONDE,86239,Moins de 500 habitants,Sainte-Radégonde,Sainte-Radégonde (86),,,72,1.74,19094,5,11
SAINT-REMY-SUR-CREUSE,86241,Moins de 500 habitants,Saint-Rémy-sur-Creuse,Saint-Rémy-sur-Creuse (86),,,187,1.81,19308,5,49
SAINT-ROMAIN,86242,Moins de 500 habitants,Saint-Romain,Saint-Romain (86),,,195,1.75,15881,1,41
SAINT-SAUVANT,86244,Entre 1 000 et  3 499 habitants,Saint-Sauvant,Saint-Sauvant (86),,,575,1.84,18965,4,96
SAINT-SAVIN,86246,Entre 500 et 999 habitants,Saint-Savin,Saint-Savin (86),,,444,1.61,18127,3,53
SAINT-SAVIOL,86247,Entre 500 et 999 habitants,Saint-Saviol,Saint-Saviol (86),,,230,1.77,18851,4,35
SAINT-SECONDIN,86248,Entre 500 et 999 habitants,Saint-Secondin,Saint-Secondin (86),,,264,1.72,17475,2,65
SAIRES,86249,Moins de 500 habitants,Saires,Saires (86),,,63,1.87,18096,3,22
SAMMARCOLLES,86252,Entre 500 et 999 habitants,Sammarçolles,Sammarçolles (86),,,270,1.91,18813,4,24
SANXAY,86253,Entre 500 et 999 habitants,Sanxay,Sanxay (86),,,256,1.68,17652,2,58
SAULGE,86254,Entre 1 000 et  3 499 habitants,Saulgé,Saulgé (86),,,452,1.75,18944,4,59
SAVIGNY-LEVESCAULT,86256,Entre 1 000 et  3 499 habitants,Savigny-Lévescault,Savigny-Lévescault (86),,,445,2.00,22476,8,8
SAVIGNY-SOUS-FAYE,86257,Moins de 500 habitants,Savigny-sous-Faye,Savigny-sous-Faye (86),,,146,1.94,18357,3,33
SENILLE,86259,Entre 500 et 999 habitants,,,,,285,1.91,20719,7,19
SERIGNY,86260,Moins de 500 habitants,Sérigny,Sérigny (86),,,144,1.74,18476,3,35
SILLARS,86262,Entre 500 et 999 habitants,Sillars,Sillars (86),,,276,1.86,19228,5,31
